condition,group,root_id,cell_type,side,rate_hz
odor_b_dl2d_left,pam_nonzero,720575940612802479,PAM04,left,62.0
odor_b_dl2d_left,pam_nonzero,720575940612857878,PAM08,right,31.8
odor_b_dl2d_left,pam_nonzero,720575940612920999,PAM11,left,28.6
odor_b_dl2d_left,pam_nonzero,720575940613338152,PAM04,right,48.6
odor_b_dl2d_left,pam_nonzero,720575940614991221,PAM08,left,4.4
odor_b_dl2d_left,pam_nonzero,720575940615607975,PAM01,left,1.8
odor_b_dl2d_left,pam_nonzero,720575940616882757,PAM11,left,33.0
odor_b_dl2d_left,pam_nonzero,720575940616986769,PAM08,left,65.6
odor_b_dl2d_left,pam_nonzero,720575940617145561,PAM01,right,17.0
odor_b_dl2d_left,pam_nonzero,720575940617242841,PAM08,right,37.2
odor_b_dl2d_left,pam_nonzero,720575940617553809,PAM08,left,17.0
odor_b_dl2d_left,pam_nonzero,720575940618744118,PAM01,left,45.0
odor_b_dl2d_left,pam_nonzero,720575940619101062,PAM11,left,63.0
odor_b_dl2d_left,pam_nonzero,720575940619251416,PAM08,left,37.6
odor_b_dl2d_left,pam_nonzero,720575940619299054,PAM08,left,53.6
odor_b_dl2d_left,pam_nonzero,720575940619402576,PAM07,right,35.2
odor_b_dl2d_left,pam_nonzero,720575940619785492,PAM01,left,0.2
odor_b_dl2d_left,pam_nonzero,720575940619823536,PAM08,right,59.0
odor_b_dl2d_left,pam_nonzero,720575940619844261,PAM08,left,37.0
odor_b_dl2d_left,pam_nonzero,720575940620260800,PAM05,left,14.4
odor_b_dl2d_left,pam_nonzero,720575940620341931,PAM07,right,38.0
odor_b_dl2d_left,pam_nonzero,720575940620423533,PAM10,right,59.6
odor_b_dl2d_left,pam_nonzero,720575940620576238,PAM10,right,55.6
odor_b_dl2d_left,pam_nonzero,720575940621085622,PAM08,right,35.8
odor_b_dl2d_left,pam_nonzero,720575940621136519,PAM11,left,56.4
odor_b_dl2d_left,pam_nonzero,720575940621216982,PAM08,right,55.0
odor_b_dl2d_left,pam_nonzero,720575940621462512,PAM01,right,27.6
odor_b_dl2d_left,pam_nonzero,720575940621617286,PAM08,left,42.4
odor_b_dl2d_left,pam_nonzero,720575940622107869,PAM08,left,26.0
odor_b_dl2d_left,pam_nonzero,720575940622338269,PAM08,right,49.0
odor_b_dl2d_left,pam_nonzero,720575940622387981,PAM08,left,35.8
odor_b_dl2d_left,pam_nonzero,720575940622701808,PAM11,right,6.0
odor_b_dl2d_left,pam_nonzero,720575940623201023,PAM04,left,56.0
odor_b_dl2d_left,pam_nonzero,720575940623398524,PAM08,right,44.4
odor_b_dl2d_left,pam_nonzero,720575940623696647,PAM05,left,26.4
odor_b_dl2d_left,pam_nonzero,720575940623792055,PAM10,left,62.8
