condition,root_id,side,rate_hz
baseline,720575940608820600,right,0.0
baseline,720575940608823509,right,0.0
baseline,720575940608997571,left,0.0
baseline,720575940609006200,left,0.0
baseline,720575940609006712,left,0.0
baseline,720575940609066030,right,0.0
baseline,720575940609097058,right,0.0
baseline,720575940609104579,right,0.0
baseline,720575940609132642,right,0.0
baseline,720575940609133102,right,0.0
baseline,720575940609143672,right,0.0
baseline,720575940609149394,right,0.0
baseline,720575940609153746,right,0.0
baseline,720575940609163986,right,0.0
baseline,720575940609169762,right,0.0
baseline,720575940609171576,left,0.0
baseline,720575940609179331,right,0.0
baseline,720575940609184210,right,0.0
baseline,720575940609190866,right,0.0
baseline,720575940609200708,left,0.0
baseline,720575940609202244,left,0.0
baseline,720575940609203268,left,0.0
baseline,720575940609208530,right,0.0
baseline,720575940609220291,right,0.0
baseline,720575940609226702,right,0.0
baseline,720575940609271854,left,0.0
baseline,720575940609318446,left,0.0
baseline,720575940609347448,left,0.0
baseline,720575940609371086,right,0.0
baseline,720575940609378424,left,0.0
baseline,720575940609399506,left,0.0
baseline,720575940609405646,right,0.0
baseline,720575940609533538,left,0.0
baseline,720575940609555922,left,0.0
baseline,720575940609573842,left,0.0
baseline,720575940609634571,right,0.0
baseline,720575940609651554,right,0.0
baseline,720575940609676100,left,0.0
baseline,720575940609684946,right,0.0
baseline,720575940609694818,right,0.0
baseline,720575940609708100,left,0.0
baseline,720575940609747780,left,0.0
baseline,720575940609768290,left,0.0
baseline,720575940609781966,left,0.0
baseline,720575940609836898,left,0.0
baseline,720575940609871253,right,0.0
baseline,720575940609873358,right,0.0
baseline,720575940609921230,right,0.0
baseline,720575940609935310,right,0.0
baseline,720575940609940373,right,0.0
baseline,720575940609941653,right,0.0
baseline,720575940609944526,right,0.0
baseline,720575940609950869,right,0.0
baseline,720575940609963248,left,0.0
baseline,720575940609970801,right,0.0
baseline,720575940609979505,right,0.0
baseline,720575940609999217,right,0.0
baseline,720575940610012024,left,0.0
baseline,720575940610029432,right,0.0
baseline,720575940610101210,right,0.0
baseline,720575940610137050,right,0.0
