condition,group,root_id,cell_type,side,rate_hz
odor_b_dl2d_left,mbons_nonzero,720575940639697827,MBON14,right,75.6
odor_b_dl2d_left,mbons_nonzero,720575940642142861,MBON10,left,16.4
odor_b_dl2d_left,mbons_nonzero,720575940643309197,MBON01,left,27.6
odor_b_dl2d_left,mbons_nonzero,720575940643696288,MBON14,left,81.6
odor_b_dl2d_left,mbons_nonzero,720575940643863496,MBON20,left,1.8
odor_b_dl2d_left,mbons_nonzero,720575940645304430,MBON13,left,33.0
odor_b_dl2d_left,mbons_nonzero,720575940647328900,MBON10,right,22.6
odor_b_dl2d_left,mbons_nonzero,720575940652390134,MBON07,left,82.0
odor_b_dl2d_left,pam_nonzero,720575940604479590,PAM08,left,32.6
odor_b_dl2d_left,pam_nonzero,720575940605113376,PAM08,right,19.6
odor_b_dl2d_left,pam_nonzero,720575940605221065,PAM01,right,4.6
odor_b_dl2d_left,pam_nonzero,720575940605280201,PAM08,right,22.0
odor_b_dl2d_left,pam_nonzero,720575940605891040,PAM11,left,15.8
odor_b_dl2d_left,pam_nonzero,720575940608071435,PAM08,right,30.6
odor_b_dl2d_left,pam_nonzero,720575940608186498,PAM11,right,5.2
odor_b_dl2d_left,pam_nonzero,720575940609414468,PAM04,left,43.6
odor_b_dl2d_left,pam_nonzero,720575940610430254,PAM07,right,23.6
odor_b_dl2d_left,pam_nonzero,720575940610523746,PAM04,right,8.6
odor_b_dl2d_left,pam_nonzero,720575940610569028,PAM08,left,33.8
odor_b_dl2d_left,pam_nonzero,720575940611129698,PAM10,left,23.2
odor_b_dl2d_left,pam_nonzero,720575940611918578,PAM08,right,18.4
odor_b_dl2d_left,pam_nonzero,720575940612623474,PAM08,right,22.0
odor_b_dl2d_left,pam_nonzero,720575940612802479,PAM04,left,37.2
odor_b_dl2d_left,pam_nonzero,720575940612857878,PAM08,right,17.6
odor_b_dl2d_left,pam_nonzero,720575940612920999,PAM11,left,21.8
odor_b_dl2d_left,pam_nonzero,720575940613338152,PAM04,right,32.0
odor_b_dl2d_left,pam_nonzero,720575940614677810,PAM12,right,4.6
odor_b_dl2d_left,pam_nonzero,720575940614991221,PAM08,left,12.8
odor_b_dl2d_left,pam_nonzero,720575940615607975,PAM01,left,9.8
odor_b_dl2d_left,pam_nonzero,720575940616882757,PAM11,left,25.0
odor_b_dl2d_left,pam_nonzero,720575940616986769,PAM08,left,32.8
odor_b_dl2d_left,pam_nonzero,720575940617145561,PAM01,right,12.8
odor_b_dl2d_left,pam_nonzero,720575940617242841,PAM08,right,19.8
odor_b_dl2d_left,pam_nonzero,720575940617466395,PAM05,left,0.2
odor_b_dl2d_left,pam_nonzero,720575940617553809,PAM08,left,13.2
odor_b_dl2d_left,pam_nonzero,720575940618744118,PAM01,left,23.8
odor_b_dl2d_left,pam_nonzero,720575940619101062,PAM11,left,37.4
odor_b_dl2d_left,pam_nonzero,720575940619251416,PAM08,left,19.8
odor_b_dl2d_left,pam_nonzero,720575940619299054,PAM08,left,28.2
odor_b_dl2d_left,pam_nonzero,720575940619402576,PAM07,right,17.8
odor_b_dl2d_left,pam_nonzero,720575940619785492,PAM01,left,10.2
odor_b_dl2d_left,pam_nonzero,720575940619823536,PAM08,right,26.8
odor_b_dl2d_left,pam_nonzero,720575940619844261,PAM08,left,19.2
odor_b_dl2d_left,pam_nonzero,720575940620260800,PAM05,left,11.2
odor_b_dl2d_left,pam_nonzero,720575940620341931,PAM07,right,19.0
odor_b_dl2d_left,pam_nonzero,720575940620352646,PAM12,left,3.6
odor_b_dl2d_left,pam_nonzero,720575940620423533,PAM10,right,37.0
odor_b_dl2d_left,pam_nonzero,720575940620576238,PAM10,right,35.4
odor_b_dl2d_left,pam_nonzero,720575940621085622,PAM08,right,18.0
odor_b_dl2d_left,pam_nonzero,720575940621136519,PAM11,left,32.8
odor_b_dl2d_left,pam_nonzero,720575940621166256,PAM12,left,6.2
odor_b_dl2d_left,pam_nonzero,720575940621216982,PAM08,right,28.2
odor_b_dl2d_left,pam_nonzero,720575940621284446,PAM04,right,0.2
odor_b_dl2d_left,pam_nonzero,720575940621434145,PAM04,left,13.4
odor_b_dl2d_left,pam_nonzero,720575940621462512,PAM01,right,16.6
odor_b_dl2d_left,pam_nonzero,720575940621617286,PAM08,left,24.0
odor_b_dl2d_left,pam_nonzero,720575940622107869,PAM08,left,14.6
odor_b_dl2d_left,pam_nonzero,720575940622338269,PAM08,right,24.4
odor_b_dl2d_left,pam_nonzero,720575940622387981,PAM08,left,19.6
odor_b_dl2d_left,pam_nonzero,720575940622701808,PAM11,right,15.6
odor_b_dl2d_left,pam_nonzero,720575940623201023,PAM04,left,36.6
odor_b_dl2d_left,pam_nonzero,720575940623398524,PAM08,right,24.4
odor_b_dl2d_left,pam_nonzero,720575940623442173,PAM01,left,2.0
odor_b_dl2d_left,pam_nonzero,720575940623696647,PAM05,left,18.0
odor_b_dl2d_left,pam_nonzero,720575940623792055,PAM10,left,37.2
odor_b_dl2d_left,pam_nonzero,720575940624545940,PAM07,left,9.4
odor_b_dl2d_left,pam_nonzero,720575940624629223,PAM07,left,16.6
odor_b_dl2d_left,pam_nonzero,720575940624661031,PAM10,right,30.4
odor_b_dl2d_left,pam_nonzero,720575940624687850,PAM12,left,7.2
odor_b_dl2d_left,pam_nonzero,720575940624859725,PAM04,right,40.6
odor_b_dl2d_left,pam_nonzero,720575940625568186,PAM08,left,20.2
odor_b_dl2d_left,pam_nonzero,720575940625615248,PAM04,right,27.6
odor_b_dl2d_left,pam_nonzero,720575940626420045,PAM04,left,27.8
odor_b_dl2d_left,pam_nonzero,720575940626506472,PAM11,left,17.8
odor_b_dl2d_left,pam_nonzero,720575940626878460,PAM10,right,38.2
odor_b_dl2d_left,pam_nonzero,720575940627103877,PAM04,left,39.0
odor_b_dl2d_left,pam_nonzero,720575940627194501,PAM07,right,23.2
odor_b_dl2d_left,pam_nonzero,720575940627390507,PAM12,right,7.0
odor_b_dl2d_left,pam_nonzero,720575940627644584,PAM08,right,30.0
odor_b_dl2d_left,pam_nonzero,720575940627680516,PAM07,left,13.4
odor_b_dl2d_left,pam_nonzero,720575940628094663,PAM07,left,17.8
