condition,root_id,glomerulus,side,rate_hz
kc_set_a,720575940617343316,DL4,right,0.0
kc_set_a,720575940617642832,VM4,right,0.0
kc_set_a,720575940617668747,VA4,left,0.0
kc_set_a,720575940617781383,DC3,right,0.0
kc_set_a,720575940617903168,VM7d,right,0.0
kc_set_a,720575940617917760,VM3,right,0.0
kc_set_a,720575940618277184,VA7l,right,0.0
kc_set_a,720575940618295454,VL2a,left,0.0
kc_set_a,720575940618308825,DP1m,left,0.0
kc_set_a,720575940618461121,VM4,left,0.0
kc_set_a,720575940618499238,D,right,0.0
kc_set_a,720575940618865112,VL2p,right,0.0
kc_set_a,720575940619071005,DM1,right,0.0
kc_set_a,720575940619280705,VM2,right,0.0
kc_set_a,720575940619337536,VM7v,left,0.0
kc_set_a,720575940619385765,DA1,left,0.0
kc_set_a,720575940619411147,VP1m,left,0.0
kc_set_a,720575940619456728,VA3,right,0.0
kc_set_a,720575940619531373,DL2v,right,0.0
kc_set_a,720575940619620852,VA1d,left,0.0
kc_set_a,720575940619637780,VM5v,right,0.0
kc_set_a,720575940619807397,DL3,left,0.0
kc_set_a,720575940619838912,VA5,left,0.0
kc_set_a,720575940619895125,VP2,left,0.0
kc_set_a,720575940619902598,VC3,left,0.0
kc_set_a,720575940619928429,VC3,left,0.0
kc_set_a,720575940620068518,VA7m,left,0.0
kc_set_a,720575940620103590,DL2d,left,0.0
kc_set_a,720575940620189790,VM5v,left,0.0
kc_set_a,720575940620199962,VA1v,left,0.0
kc_set_a,720575940620266406,VA1d,right,0.0
kc_set_a,720575940620437339,DM6,left,0.0
kc_set_a,720575940620465904,VC3,left,0.0
kc_set_a,720575940620467438,DL2v,left,0.0
kc_set_a,720575940620566808,VP1l+,right,0.0
kc_set_a,720575940620595053,VL1,left,0.0
kc_set_a,720575940620638335,DL3,left,0.0
kc_set_a,720575940621103743,VA1v,right,0.0
kc_set_a,720575940621123113,DL2d,right,0.0
kc_set_a,720575940621185050,DA1,left,0.0
kc_set_a,720575940621203632,DL3,right,0.0
kc_set_a,720575940621239679,DA1,right,0.0
kc_set_a,720575940621256212,VM7v,left,0.0
kc_set_a,720575940621316033,VC3,right,0.0
kc_set_a,720575940621333696,VA5,right,0.0
kc_set_a,720575940621529435,DC1,right,0.0
kc_set_a,720575940621533985,VC3,right,0.0
kc_set_a,720575940621696747,VA1v,right,0.0
kc_set_a,720575940621926669,DL3,left,0.0
kc_set_a,720575940622287142,VM5v,right,0.0
kc_set_a,720575940622311704,DA2,right,0.0
kc_set_a,720575940622364184,DA2,left,0.0
kc_set_a,720575940622368792,DL1,left,0.0
kc_set_a,720575940622448589,VA1d,right,0.0
kc_set_a,720575940622574532,VA7m,right,0.0
kc_set_a,720575940622675494,DM4,right,0.0
kc_set_a,720575940622726271,DP1m,right,0.0
kc_set_a,720575940622734835,DA2,left,0.0
kc_set_a,720575940622762995,DA2,right,0.0
kc_set_a,720575940622785062,DM6,left,0.0
kc_set_a,720575940622811430,VA1d,left,0.0
kc_set_a,720575940623303108,DA1,right,0.0
kc_set_a,720575940623444715,VM1,left,0.0
kc_set_a,720575940623528925,DM4,left,0.0
kc_set_a,720575940623543881,DA1,right,0.0
kc_set_a,720575940623605943,VP2,left,0.0
kc_set_a,720575940623739076,VA1v,right,0.0
kc_set_a,720575940623902471,DM6,right,0.0
kc_set_a,720575940623913364,VP1d,right,0.0
kc_set_a,720575940623922869,DL2d,left,0.0
kc_set_a,720575940623945404,VC3,right,0.0
kc_set_a,720575940624001321,VC4,left,0.0
kc_set_a,720575940624030819,VP1l+,right,0.0
kc_set_a,720575940624057853,VM6,left,0.0
kc_set_a,720575940624083484,VP1l+,right,0.0
kc_set_a,720575940624106442,DA2,right,0.0
kc_set_a,720575940624106701,DP1l,right,0.0
kc_set_a,720575940624515571,VC5,left,0.0
kc_set_a,720575940624661552,VM5v,right,0.0
kc_set_a,720575940624834697,VM4,right,0.0
kc_set_a,720575940624863015,VL1,left,0.0
kc_set_a,720575940624941244,DL2d,right,0.0
kc_set_a,720575940625014928,VA1v,right,0.0
kc_set_a,720575940625176094,VP1l+,left,0.0
kc_set_a,720575940625431866,VM5v,left,0.0
kc_set_a,720575940625493400,DM6,right,0.0
kc_set_a,720575940625564676,VA1d,right,0.0
kc_set_a,720575940625627023,VP1l+,left,0.0
kc_set_a,720575940625784153,VA7l,left,0.0
kc_set_a,720575940625924618,DA3,left,0.0
kc_set_a,720575940626034819,DA1,left,0.0
kc_set_a,720575940626043218,VP4,right,0.0
kc_set_a,720575940626143806,V,right,0.0
kc_set_a,720575940626247823,VM4,left,0.0
kc_set_a,720575940626601994,VL2a,right,0.0
kc_set_a,720575940626937617,DA2,left,0.0
