condition,group,root_id,cell_type,side,rate_hz
odor_a_da1_left,pam_nonzero,720575940627194501,PAM07,right,55.0
odor_a_da1_left,pam_nonzero,720575940627390507,PAM12,right,12.8
odor_a_da1_left,pam_nonzero,720575940627644584,PAM08,right,69.0
odor_a_da1_left,pam_nonzero,720575940627680516,PAM07,left,27.2
odor_a_da1_left,pam_nonzero,720575940628094663,PAM07,left,40.0
odor_a_da1_left,pam_nonzero,720575940628615683,PAM01,left,30.2
odor_a_da1_left,pam_nonzero,720575940628687207,PAM01,left,30.8
odor_a_da1_left,pam_nonzero,720575940628836412,PAM08,right,41.8
odor_a_da1_left,pam_nonzero,720575940629188507,PAM01,left,0.2
odor_a_da1_left,pam_nonzero,720575940629190615,PAM08,left,0.8
odor_a_da1_left,pam_nonzero,720575940629579836,PAM04,right,98.8
odor_a_da1_left,pam_nonzero,720575940629960192,PAM10,left,70.2
odor_a_da1_left,pam_nonzero,720575940630397527,PAM12,right,10.6
odor_a_da1_left,pam_nonzero,720575940630465398,PAM07,left,15.6
odor_a_da1_left,pam_nonzero,720575940630500293,PAM08,left,69.0
odor_a_da1_left,pam_nonzero,720575940630684943,PAM08,left,40.8
odor_a_da1_left,pam_nonzero,720575940630777631,PAM05,right,18.6
odor_a_da1_left,pam_nonzero,720575940630868271,PAM11,right,29.8
odor_a_da1_left,pam_nonzero,720575940631095087,PAM01,left,16.2
odor_a_da1_left,pam_nonzero,720575940631184439,PAM08,left,63.4
odor_a_da1_left,pam_nonzero,720575940631198776,PAM04,right,59.2
odor_a_da1_left,pam_nonzero,720575940631222841,PAM12,right,4.0
odor_a_da1_left,pam_nonzero,720575940631443304,PAM01,right,42.0
odor_a_da1_left,pam_nonzero,720575940631576903,PAM07,right,60.0
odor_a_da1_left,pam_nonzero,720575940631636035,PAM04,left,79.2
odor_a_da1_left,pam_nonzero,720575940631688808,PAM01,left,41.2
odor_a_da1_left,pam_nonzero,720575940633145996,PAM01,left,36.2
odor_a_da1_left,pam_nonzero,720575940633406745,PAM10,left,69.0
odor_a_da1_left,pam_nonzero,720575940633688476,PAM04,left,104.2
odor_a_da1_left,pam_nonzero,720575940634953079,PAM11,right,55.2
odor_a_da1_left,pam_nonzero,720575940635356316,PAM04,right,81.0
odor_a_da1_left,pam_nonzero,720575940637391582,PAM01,right,13.6
odor_a_da1_left,pam_nonzero,720575940638163940,PAM10,right,68.2
odor_a_da1_left,pam_nonzero,720575940639075150,PAM10,left,92.0
odor_a_da1_left,pam_nonzero,720575940639358579,PAM11,right,58.0
odor_a_da1_left,pam_nonzero,720575940639566406,PAM01,left,41.2
odor_a_da1_left,pam_nonzero,720575940641062901,PAM01,left,23.2
odor_a_da1_left,pam_nonzero,720575940642733216,PAM08,right,1.2
odor_a_da1_left,pam_nonzero,720575940643311501,PAM10,left,70.4
odor_a_da1_left,pam_nonzero,720575940643543200,PAM07,left,18.8
odor_a_da1_left,pam_nonzero,720575940643950190,PAM07,right,53.0
odor_a_da1_left,pam_nonzero,720575940644146724,PAM10,right,82.8
odor_a_da1_left,pam_nonzero,720575940644747828,PAM08,right,50.0
